GeneID	GeneName	seed	spikelet	stem
SORBI_3001G049800	SORBI_3001G049800	11	15	29
SORBI_3001G050100	SORBI_3001G050100		1	0.9
SORBI_3001G050200	SORBI_3001G050200	19	23	34
SORBI_3001G050300	SORBI_3001G050300	26	102	18
SORBI_3001G050400	SORBI_3001G050400	5	14	10
SORBI_3001G050500	SORBI_3001G050500	30	47	23
SORBI_3001G050600	SORBI_3001G050600	19	16	24
SORBI_3001G050650	SORBI_3001G050650	1		
SORBI_3001G050700	SORBI_3001G050700	9	17	16
SORBI_3001G050800	SORBI_3001G050800	0.7	1	2
SORBI_3001G050900	SORBI_3001G050900	50	2	6
SORBI_3001G051100	SORBI_3001G051100	3	6	0.5
SORBI_3001G051200	SORBI_3001G051200	128	223	294
SORBI_3001G051300	SORBI_3001G051300	9	12	20
SORBI_3001G051400	SORBI_3001G051400	22	22	28
SORBI_3001G051500	SORBI_3001G051500	26	26	39
SORBI_3001G051600	SORBI_3001G051600	22	31	129
SORBI_3001G051700	SORBI_3001G051700	18	21	32
SORBI_3001G051800	SORBI_3001G051800	34	23	44
SORBI_3001G052000	SORBI_3001G052000	11	195	271
SORBI_3001G052100	SORBI_3001G052100		1	0.8
SORBI_3001G052200	SORBI_3001G052200	2	2	4
SORBI_3001G052300	SORBI_3001G052300	35	18	26
SORBI_3001G052400	SORBI_3001G052400	23	23	34
SORBI_3001G052600	SORBI_3001G052600	3	3	5
SORBI_3001G052700	SORBI_3001G052700	38	64	79
SORBI_3001G052800	SORBI_3001G052800	2	3	5
SORBI_3001G052900	SORBI_3001G052900	373	225	283
SORBI_3001G053000	SORBI_3001G053000	13	14	14
SORBI_3001G053200	SORBI_3001G053200	10	15	15
SORBI_3001G053350	SORBI_3001G053350	0.7		
SORBI_3001G053500	SORBI_3001G053500		9	
SORBI_3001G053700	SORBI_3001G053700	15	3	
SORBI_3001G053800	SORBI_3001G053800	35	45	64
SORBI_3001G053900	SORBI_3001G053900	2	4	6
SORBI_3001G054000	SORBI_3001G054000	1	3	3
SORBI_3001G054100	SORBI_3001G054100	6	9	13
SORBI_3001G054200	SORBI_3001G054200	9	18	21
SORBI_3001G054600	SORBI_3001G054600	3	9	17
SORBI_3001G054700	SORBI_3001G054700	23	35	55
SORBI_3001G054800	SORBI_3001G054800	111	316	322
SORBI_3001G054900	SORBI_3001G054900	145	251	295
